1,10000001,Serial #,Manufacturer,Name,Purchase Date,Category,Storage,"notes about this
"
65,10000065,,Shure,PGA58 w/Stand,,Audio,,
66,10000066,,Shure,PGA58 w/Stand,,Audio,,
67,10000067,,Shure,PGA58 w/Stand,,Audio,,
68,10000068,,Shure,GLXD4D G50,,Audio,,
69,10000069,,Shure,GLXD4D G50,,Audio,,
70,10000070,,Shure,GLXD4D G50,,Audio,,
71,10000071,,Shure,ULXD2/SM58,,Audio,,
72,10000072,,Shure,ULXD2/SM58,,Audio,,
73,10000073,,Shure,ULXD2/SM58,,Audio,,
74,10000074,,Shure,ULXD2/SM58,,Audio,,
75,10000075,,Shure,ULXD2/SM58,,Audio,,
76,10000076,,Shure,ULXD2/SM58,,Audio,,
77,10000077,,Shure,ULXD1,,Audio,,
78,10000078,,Shure,ULXD1,,Audio,,
79,10000079,,Shure,ULXD1,,Audio,,
80,10000080,,Shure,ULXD1,,Audio,,
81,10000081,,Shure,ULXD1,,Audio,,
82,10000082,,Shure,ULXD1,,Audio,,
83,10000083,,QSC,TouchMix 8,,Audio,,"test
test again
test one more time
"
84,10000084,,Allen & Heath,Avantis,,Audio,,
85,10000085,,Allen & Heath,DX168,,Audio,,
86,10000086,,Focusrite,Scarlett 2i2,,Audio,,
87,10000087,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
88,10000088,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
89,10000089,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
90,10000090,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
91,10000091,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
92,10000092,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
93,10000093,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
94,10000094,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
95,10000095,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
96,10000096,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
97,10000097,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
98,10000098,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
99,10000099,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
100,10000100,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
101,10000101,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
102,10000102,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
103,10000103,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
104,10000104,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
105,10000105,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
106,10000106,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
107,10000107,,Novastar,VX4S,,Video,,
108,10000108,,Novastar,VX4S,,Video,,
109,10000109,,Novastar,VX6S,,Video,,
110,10000110,,Novastar,VX1000,,Video,,
